,title,subtitle,link
0,TROY DEENEY,Tottenham should want to help Arsenal win the League by stopping City,https://www.thesun.co.uk/sport/27856085/tottenham-should-want-arsenal-win-premier-league-deeney/
1,TURF AT THE TOP,Guardiola radically changes Man City training to combat odd Fulham fear,https://www.thesun.co.uk/sport/27856924/pep-guardiola-man-city-fear-fulham-arsenal-title/
2,SING IT WAZZA,Wayne Rooney shows off his singing skills at son’s Holy Communion,https://www.thesun.co.uk/sport/27856626/wayne-rooney-singing-skills-kit/
3,'I WAS SCARED',Footballer grandson of ex-Man Utd star Strachan 'caught up in carjacking',https://www.thesun.co.uk/sport/27858483/celtic-gordon-strachan-grandson-luke-carjacking-dundee/
4,KARREN BRADY,West Ham will miss Moyes - the best manager I've worked with in 30-plus years,https://www.thesun.co.uk/sport/27856811/karren-brady-david-moyes-west-ham-best-manager/
5,STANDING UNITED,McClaren fires dig at Man Utd 'standards' and lifts lid on Ratcliffe impact,https://www.thesun.co.uk/sport/27853585/steve-mcclaren-man-utd-lack-standards-sir-jim-ratcliffe/
6,EURO VISION,"Dream Team Euros is live! Play now and compete for £50,000 prize pot",https://www.thesun.co.uk/sport/football/dream-team/27813507/euros-fantasy-football-game-scoring-transfers-rules/
7,TOP AND TAIL,Nottingham Forest vs Chelsea odds: Get £40 in free bets & bonuses with BetMGM,https://www.thesun.co.uk/sport/27802350/nottingham-forest-vs-chelsea-odds-free-bets-bonus-betmgm/
8,BREIT FUTURE,Huddersfield manager leaves after relegation and just three months in charge,https://www.thesun.co.uk/sport/27853750/huddersfield-manager-andre-breitenreiter-quits-relegation/
9,CASE IN POINT,Man Utd ace Casemiro dropped by Brazil after Carragher's 'disrespectful' rant,https://www.thesun.co.uk/sport/27856119/casemiro-dropped-brazil-squad-jamie-carragher-man-utd/
10,WELL I NEVER,Forgotten ex-England and Premier League star unrecognisable with top knot,https://www.thesun.co.uk/sport/27849496/england-premier-league-jack-rodwell-unrecognisable-top-knot/
11,JUR KIDDING,Klopp stuns press conference with brutal six-word statement after arriving late,https://www.thesun.co.uk/sport/27851330/jurgen-klopp-press-conference-liverpool-aston-villa/
12,REF'S TAYL,Prem ref Anthony Taylor lands bizarre new job in Europe as fans say 'no way',https://www.thesun.co.uk/sport/27848632/premier-league-anthony-taylor-albania-final/
13,JUR JOKING,Jurgen Klopp could be banned for final Liverpool game and admits he must behave,https://www.thesun.co.uk/sport/27844558/jurgen-klopp-suspension-final-game-mikel-arteta-yellow-cards/
14,JOR DROPPING,Jordan Henderson faces third transfer in a year with Ajax future in doubt,https://www.thesun.co.uk/sport/27848635/jordan-henderson-transfer-ajax-windfall/
15,DAR-CELONA,Nunez's agent 'wants star to quit Liverpool and leaks asking price to Barcelona',https://www.thesun.co.uk/sport/27837561/liverpool-barcelona-darwin-nunez-transfer/
16,EX-DEVIL FREED,"Ex-Man Utd star, 34, wakes up unemployed after release from League One club",https://www.thesun.co.uk/sport/27852389/ben-amos-wigan-released-ex-man-utd/
17,RIK ROLL,Ten Hag convinced he'll still be at Man Utd next season & shares two-word reason,https://www.thesun.co.uk/sport/27847498/man-utd-erik-ten-hag-future-defiant-message/
18,FREE BETS,Tottenham vs Burnley: Get £40 in football free bets and bonuses with William Hill,https://www.thesun.co.uk/sport/27802052/tottenham-vs-burnley-football-free-bets-bonus-william-hill/
19,ART DEALER,Jorginho urges Arsenal to tie boss Arteta down to a new long-term deal,https://www.thesun.co.uk/sport/27856251/jorginho-arsenal-mikel-arteta-premier-league-title/
20,WORST CASE SCENARIO,Keane hammers Casemiro & says he'd rather pick YOUTH PLAYER,https://www.thesun.co.uk/sport/27838885/roy-keane-casemiro-manchester-united-crystal-palace/
21,RED FACED,"Man Utd flops stealing a living and worst coached team, blasts ex-MOTD pundit",https://www.thesun.co.uk/sport/27850605/man-utd-mark-lawrenson-liverpool-erik-ten-hag/
22,CARR PACKAGE,Man Utd urged to sack Ten Hag and get in new boss on 'emergency LOAN',https://www.thesun.co.uk/sport/27841133/ten-hag-fa-cup-final-carrick/
